"instruction","family","latency","throughput","uops","ports"
"PREFETCH_EXCLUSIVE (M512)","3DNOW_PREFETCH","","0.50","1",""
"PREFETCHW (M512)","3DNOW_PREFETCH","","0.50","1",""
"ADCX (R32, M32)","ADOX_ADCX","[1;≤8]","0.60","1",""
"ADCX (R32, R32)","ADOX_ADCX","1","0.56","1",""
"ADCX (R64, M64)","ADOX_ADCX","[≤1;5]","0.60","1",""
"ADCX (R64, R64)","ADOX_ADCX","1","0.56","1",""
"ADOX (R32, M32)","ADOX_ADCX","[≤1;5]","0.60","1",""
"ADOX (R32, R32)","ADOX_ADCX","1","0.56","1",""
"ADOX (R64, M64)","ADOX_ADCX","[≤1;5]","0.60","1",""
"ADOX (R64, R64)","ADOX_ADCX","1","0.56","1",""
"AESDEC (XMM, M128)","AES","[4;≤12]","0.50 / 0.50","1","1*FP01"
"AESDEC (XMM, XMM)","AES","4","0.50 / 0.50","1","1*FP01"
"AESDECLAST (XMM, M128)","AES","[4;≤12]","0.50 / 0.50","1","1*FP01"
"AESDECLAST (XMM, XMM)","AES","4","0.50 / 0.50","1","1*FP01"
"AESENC (XMM, M128)","AES","[4;≤12]","0.50 / 0.50","1","1*FP01"
"AESENC (XMM, XMM)","AES","4","0.50 / 0.50","1","1*FP01"
"AESENCLAST (XMM, M128)","AES","[4;≤12]","0.50 / 0.50","1","1*FP01"
"AESENCLAST (XMM, XMM)","AES","4","0.50 / 0.50","1","1*FP01"
"AESIMC (XMM, M128)","AES","[≤11;≤12]","0.50 / 0.50","1","1*FP01"
"AESIMC (XMM, XMM)","AES","4","0.50 / 0.50","1","1*FP01"
"AESKEYGENASSIST (XMM, M128, I8)","AES","[≤11;≤12]","0.50 / 0.50","1","1*FP01"
"AESKEYGENASSIST (XMM, XMM, I8)","AES","4","0.50 / 0.50","1","1*FP01"
"VADDPD (XMM, XMM, M128)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDPD (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDPD (YMM, YMM, M256)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDPD (YMM, YMM, YMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDPS (XMM, XMM, M128)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDPS (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDPS (YMM, YMM, M256)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDPS (YMM, YMM, YMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDSD (XMM, XMM, M64)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDSD (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDSS (XMM, XMM, M32)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDSS (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDSUBPD (XMM, XMM, M128)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
