"Instruction","","Lat","TP","Uops","Ports"
"LEA_B_I (R32)","BASE","1","1.00","1",""
"LEA_B_I (R64)","BASE","1","1.00","1",""
"LEA_B_I_D32 (R16)","BASE","[1;3]","4.00","2",""
"LEA_B_I_D32 (R32)","BASE","2","1.00","1",""
"LEA_B_I_D32 (R64)","BASE","2","1.00","1",""
"LEA_B_I_D8 (R16)","BASE","[1;3]","4.00","2",""
"LEA_B_I_D8 (R32)","BASE","2","1.00","1",""
"LEA_B_I_D8 (R64)","BASE","2","1.00","1",""
"LEA_B_IS (R16)","BASE","[1;3]","4.00","2",""
"LEA_B_IS (R32)","BASE","1","1.00","1",""
"LEA_B_IS (R64)","BASE","1","1.00","1",""
"LEA_B_IS_D32 (R16)","BASE","[1;3]","4.00","2",""
"LEA_B_IS_D32 (R32)","BASE","2","1.00","1",""
"LEA_B_IS_D32 (R64)","BASE","2","1.00","1",""
"LEA_B_IS_D8 (R16)","BASE","[1;3]","4.00","2",""
"LEA_B_IS_D8 (R32)","BASE","2","1.00","1",""
"LEA_B_IS_D8 (R64)","BASE","2","1.00","1",""
"LEA_D32 (R16)","BASE","1","4.00","2",""
"LEA_D32 (R32)","BASE","","0.50","1",""
"LEA_D32 (R64)","BASE","","0.50","1",""
"LEA_I_D32 (R16)","BASE","[1;3]","4.00","2",""
"LEA_I_D32 (R32)","BASE","2","1.00","1",""
"LEA_I_D32 (R64)","BASE","2","1.00","1",""
"LEA_IS_D32 (R16)","BASE","[1;3]","4.00","2",""
"LEA_IS_D32 (R32)","BASE","2","1.00","1",""
"LEA_IS_D32 (R64)","BASE","2","1.00","1",""
"LEA_R_D32 (R16)","BASE","","4.00","2",""
"LEA_R_D32 (R32)","BASE","","0.44","1",""
"LEA_R_D32 (R64)","BASE","","0.50","1",""
"LEAVE","BASE","[1;3]","1.00","2",""
"LEAVE_W","BASE","[2;4]","6.00","4",""
"LGDT (M80)","BASE","","81.50","26",""
"LIDT (M80)","BASE","","82.50","25",""
"LLDT (M16)","BASE","","108.50","26",""
"LLDT (R16)","BASE","","107.25","23",""
"LMSW (M16)","BASE","","57.50","22",""
"LMSW (R16)","BASE","","51.00","17",""
"LODSB","BASE","[4;≤5]","4.00","3",""
"LODSB_REPE","BASE","","20.00","3",""
"LODSB_REPNE","BASE","","20.00","3",""
"LODSD","BASE","[4;≤5]","4.00","3",""
"LODSD_REPE","BASE","","20.00","3",""
"LODSD_REPNE","BASE","","20.00","3",""
"LODSW","BASE","[4;≤5]","4.00","3",""
"LODSW_REPE","BASE","","20.00","3",""
"LODSW_REPNE","BASE","","20.00","3",""
"LOOP (Rel8)","BASE","2","10.00","9",""
"LOOPE (Rel8)","BASE","17","24.38","9",""
"LOOPNE (Rel8)","BASE","2","12.00","9",""
"LSL (R16, M16)","BASE","[≤67;109]","39.75","22",""
"LSL (R16, R16)","BASE","[63;67]","73.25","18",""
"LSL (R32, M16)","BASE","[67;77]","39.75","22",""
"LSL (R32, R32)","BASE","[63;67]","73.00","18",""
"LSL (R64, M16)","BASE","[67;77]","39.75","22",""
"LSL (R64, R32)","BASE","[63;67]","73.00","18",""
"MOV (AL, Moffs8)","BASE","≤5","1.00","1",""
"MOV (AX, Moffs16)","BASE","[1;≤5]","1.00","1",""
"MOV (EAX, Moffs32)","BASE","≤4","1.00","1",""
"MOV (M16, I16)","BASE","≤8","1.00","1",""
"MOV (M16, R16)","BASE","[≤5;≤8]","1.00","1",""
"MOV (M16, SEG)","BASE","≤8","4.00","3",""
"MOV (M32, I32)","BASE","≤7","1.00","1",""
"MOV (M32, R32)","BASE","[≤4;≤7]","1.00","1",""
"MOV (M64, I32)","BASE","≤7","1.00","1",""
"MOV (M64, R64)","BASE","[≤4;≤7]","1.00","1",""
"MOV (M8, 0)","BASE","≤8","1.00","1",""
"MOV (M8, I8)","BASE","≤8","1.00","1",""
"MOV (M8, R8h)","BASE","[≤5;≤8]","1.00","1",""
"MOV (M8, R8l)","BASE","[≤5;≤8]","1.00","1",""
"MOV (Moffs16, AX)","BASE","≤5","1.00","1",""
"MOV (Moffs32, EAX)","BASE","≤4","1.00","1",""
"MOV (Moffs64, RAX)","BASE","≤4","1.00","1",""
"MOV (Moffs8, AL)","BASE","≤5","1.00","1",""
"MOV (R16, I16)","BASE","1","0.33","1",""
"MOV (R16, M16)","BASE","[1;≤5]","1.00","1",""
"MOV (R16, SEG)","BASE","3","3.00","1",""
"MOV (R32, I32)","BASE","","0.35","1",""
"MOV (R32, M32)","BASE","[3;≤4]","1.00","1",""
"MOV (R32, SEG)","BASE","","1.00","1",""
"MOV (R64, I32)","BASE","","0.50","1",""
"MOV (R64, I64)","BASE","","0.62","1",""
"MOV (R64, M64)","BASE","[3;≤4]","1.00","1",""
"MOV (R64, SEG)","BASE","","1.00","1",""
"MOV (R8h, 0)","BASE","1","1.00","1",""
"MOV (R8h, I8)","BASE","1","1.00","1",""
"MOV (R8h, M8)","BASE","[1;≤5]","1.00","1",""
"MOV (R8l, 0)","BASE","1","0.33","1",""
"MOV (R8l, I8)","BASE","1","0.33","1",""
"MOV (R8l, M8)","BASE","[1;≤5]","1.00","1",""
"MOV (RAX, Moffs64)","BASE","≤4","1.00","1",""
"MOV_88 (R8h, R8h)","BASE","1","1.00","1",""
"MOV_88 (R8h, R8l)","BASE","1","1.00","1",""
"MOV_88 (R8l, R8h)","BASE","1","1.00","1",""
"MOV_88 (R8l, R8l)","BASE","1","0.33","1",""
"MOV_89 (R16, R16)","BASE","1","0.33","1",""
"MOV_89 (R32, R32)","BASE","0","0.33","1",""
"MOV_89 (R64, R64)","BASE","0","0.33","1",""
"MOV_8A (R8h, R8h)","BASE","1","1.00","1",""
"MOV_8A (R8h, R8l)","BASE","1","1.00","1",""
"MOV_8A (R8l, R8h)","BASE","1","1.00","1",""
"MOV_8A (R8l, R8l)","BASE","1","0.33","1",""
"MOV_8B (R16, R16)","BASE","1","0.33","1",""
"MOV_8B (R32, R32)","BASE","0","0.33","1",""
"MOV_8B (R64, R64)","BASE","0","0.33","1",""
"MOV_CR (R64, CR)","BASE","","15.00","9",""
"MOV_DR (DR, R64)","BASE","≤82","72.25","31",""
"MOV_DR (R64, DR)","BASE","≤92","41.00","16",""
"MOVSB","BASE","≤4","5.00","5",""
"MOVSB_REPE","BASE","","27.00","24",""
"MOVSB_REPNE","BASE","","27.00","24",""
"MOVSD","BASE","≤3","5.00","5",""
"MOVSD_REPE","BASE","","27.00","24",""
"MOVSD_REPNE","BASE","","27.00","24",""
"MOVSW","BASE","≤4","5.00","5",""
"MOVSW_REPE","BASE","","27.00","24",""
"MOVSW_REPNE","BASE","","27.00","24",""
"MOVSX (R16, M8)","BASE","[2;≤6]","4.00","3",""
"MOVSX (R16, R8h)","BASE","2","4.00","2",""
"MOVSX (R16, R8l)","BASE","2","4.00","2",""
"MOVSX (R32, M16)","BASE","[4;≤5]","1.00","1",""
"MOVSX (R32, M8)","BASE","[4;≤5]","1.00","1",""
"MOVSX (R32, R16)","BASE","1","1.00","1",""
"MOVSX (R32, R8h)","BASE","1","1.00","1",""
"MOVSX (R32, R8l)","BASE","1","1.00","1",""
"MOVSX (R64, M16)","BASE","[4;≤5]","1.00","1",""
"MOVSX (R64, M8)","BASE","[4;≤5]","1.00","1",""
"MOVSX (R64, R16)","BASE","1","1.00","1",""
"MOVSX (R64, R8l)","BASE","1","1.00","1",""
"MOVZX (R16, M8)","BASE","[2;≤6]","4.00","3",""
"MOVZX (R16, R8h)","BASE","2","4.00","2",""
"MOVZX (R16, R8l)","BASE","2","4.00","2",""
"MOVZX (R32, M16)","BASE","[3;≤4]","1.00","1",""
"MOVZX (R32, M8)","BASE","[3;≤4]","1.00","1",""
"MOVZX (R32, R16)","BASE","1","1.00","1",""
"MOVZX (R32, R8h)","BASE","1","1.00","1",""
"MOVZX (R32, R8l)","BASE","1","1.00","1",""
"MOVZX (R64, M16)","BASE","[3;≤4]","1.00","1",""
"MOVZX (R64, M8)","BASE","[3;≤4]","1.00","1",""
"MOVZX (R64, R16)","BASE","1","1.00","1",""
"MOVZX (R64, R8l)","BASE","1","1.00","1",""
"MUL (M16)","BASE","[0;≤9]","5.00","5",""
"MUL (M32)","BASE","[3;≤8]","2.00","2",""
"MUL (M64)","BASE","[5;≤10]","2.33","2",""
"MUL (M8)","BASE","[4;≤8]","4.00","3",""
"MUL (R16)","BASE","[0;5]","5.00","4",""
"MUL (R32)","BASE","[3;4]","2.00","2",""
"MUL (R64)","BASE","[5;6]","2.00","2",""
"MUL (R8h)","BASE","[4;5]","4.00","3",""
"MUL (R8l)","BASE","[3;4]","4.00","2",""
"NEG (M16)","BASE","[4;≤9]","1.00","1",""
"NEG (M32)","BASE","[4;≤8]","1.00","1",""
"NEG (M64)","BASE","[4;≤8]","1.00","1",""
"NEG (M8)","BASE","[4;≤9]","1.00","1",""
"NEG (R16)","BASE","1","1.00","1",""
"NEG (R32)","BASE","1","0.33","1",""
"NEG (R64)","BASE","1","0.33","1",""
"NEG (R8h)","BASE","[1;≤2]","1.00","1",""
"NEG (R8l)","BASE","1","1.00","1",""
"NEG_LOCK (M16)","BASE","[≤10;13]","14.00","1",""
"NEG_LOCK (M32)","BASE","[≤9;13]","14.00","1",""
"NEG_LOCK (M64)","BASE","[≤9;13]","14.00","1",""
"NEG_LOCK (M8)","BASE","[≤10;13]","14.00","1",""
"NOP","BASE","","0.33","1",""
"NOP (M16)","BASE","","0.33","1",""
"NOP (M32)","BASE","","0.33","1",""
"NOP (M64)","BASE","","0.33","1",""
"NOP (R16)","BASE","","0.33","1",""
"NOP (R32)","BASE","","0.33","1",""
"NOP (R64)","BASE","","0.33","1",""
"NOT (M16)","BASE","[5;≤9]","1.00","1",""
"NOT (M32)","BASE","[5;≤8]","1.00","1",""
"NOT (M64)","BASE","[5;≤8]","1.00","1",""
"NOT (M8)","BASE","[5;≤9]","1.00","1",""
"NOT (R16)","BASE","1","0.33","1",""
"NOT (R32)","BASE","1","0.33","1",""
"NOT (R64)","BASE","1","0.33","1",""
"NOT (R8h)","BASE","1","1.00","1",""
"NOT (R8l)","BASE","1","0.33","1",""
"NOT_LOCK (M16)","BASE","[≤10;11]","14.00","1",""
"NOT_LOCK (M32)","BASE","[≤9;11]","14.00","1",""
"NOT_LOCK (M64)","BASE","[≤9;11]","14.00","1",""
"NOT_LOCK (M8)","BASE","[≤10;11]","14.00","1",""
"OR (AL, 0)","BASE","1","0.67","1",""
"OR (AL, I8)","BASE","1","0.67","1",""
"OR (AX, I16)","BASE","1","0.67","1",""
"OR (EAX, I32)","BASE","1","0.67","1",""
"OR (M16, 0)","BASE","[4;≤9]","1.00","1",""
"OR (M16, I16)","BASE","[4;≤9]","1.00","1",""
"OR (M16, I8)","BASE","[4;≤9]","1.00","1",""
"OR (M16, R16)","BASE","[1;≤9]","1.00","1",""
"OR (M32, 0)","BASE","[4;≤8]","1.00","1",""
"OR (M32, I32)","BASE","[4;≤8]","1.00","1",""
"OR (M32, I8)","BASE","[4;≤8]","1.00","1",""
"OR (M32, R32)","BASE","[1;≤8]","1.00","1",""
"OR (M64, 0)","BASE","[4;≤8]","1.00","1",""
"OR (M64, I32)","BASE","[4;≤8]","1.00","1",""
"OR (M64, I8)","BASE","[4;≤8]","1.00","1",""
"OR (M64, R64)","BASE","[1;≤8]","1.00","1",""
"OR (M8, 0)","BASE","[4;≤9]","1.00","1",""
"OR (M8, I8)","BASE","[4;≤9]","1.00","1",""
"OR (M8, R8h)","BASE","[≤3;≤10]","1.00","1",""
"OR (M8, R8l)","BASE","[1;≤9]","1.00","1",""
"OR (R16, 0)","BASE","1","0.33","1",""
"OR (R16, I16)","BASE","1","0.35","1",""
"OR (R16, I8)","BASE","1","0.33","1",""
"OR (R16, M16)","BASE","[1;≤5]","1.00","1",""
"OR (R32, 0)","BASE","1","0.33","1",""
"OR (R32, I32)","BASE","1","0.44","1",""
"OR (R32, I8)","BASE","1","0.33","1",""
"OR (R32, M32)","BASE","[1;≤5]","1.00","1",""
"OR (R64, 0)","BASE","1","0.33","1",""
"OR (R64, I32)","BASE","1","0.50","1",""
"OR (R64, I8)","BASE","1","0.33","1",""
"OR (R64, M64)","BASE","[1;≤5]","1.00","1",""
"OR (R8h, 0)","BASE","[2;≤3]","1.00","1",""
"OR (R8h, I8)","BASE","[2;≤3]","1.00","1",""
"OR (R8h, M8)","BASE","[2;≤6]","1.00","1",""
"OR (R8l, M8)","BASE","[1;≤5]","1.00","1",""
"OR (RAX, I32)","BASE","1","0.67","1",""
"OR_08 (R8h, R8h)","BASE","[1;≤2]","1.00","1",""
"OR_08 (R8h, R8l)","BASE","[2;≤3]","1.00","1",""
"OR_08 (R8l, R8h)","BASE","[2;≤3]","1.00","1",""
"OR_08 (R8l, R8l)","BASE","1","0.33","1",""
"OR_09 (R16, R16)","BASE","1","0.33","1",""
"OR_09 (R32, R32)","BASE","1","0.33","1",""
"OR_09 (R64, R64)","BASE","1","0.33","1",""
"OR_0A (R8h, R8h)","BASE","[1;≤2]","1.00","1",""
"OR_0A (R8h, R8l)","BASE","[2;≤3]","1.00","1",""
"OR_0A (R8l, R8h)","BASE","[2;≤3]","1.00","1",""
"OR_0A (R8l, R8l)","BASE","1","0.33","1",""
"OR_0B (R16, R16)","BASE","1","0.33","1",""
"OR_0B (R32, R32)","BASE","1","0.33","1",""
"OR_0B (R64, R64)","BASE","1","0.33","1",""
"OR_LOCK (M16, 0)","BASE","[≤10;13]","14.00","1",""
"OR_LOCK (M16, I16)","BASE","[≤10;13]","14.00","1",""
"OR_LOCK (M16, I8)","BASE","[≤10;13]","14.00","1",""
"OR_LOCK (M16, R16)","BASE","[≤10;≤14]","14.00","1",""
"OR_LOCK (M32, 0)","BASE","[≤9;13]","14.00","1",""
"OR_LOCK (M32, I32)","BASE","[≤9;13]","14.00","1",""
"OR_LOCK (M32, I8)","BASE","[≤9;13]","14.00","1",""
"OR_LOCK (M32, R32)","BASE","[≤9;13]","14.00","1",""
"OR_LOCK (M64, 0)","BASE","[≤9;13]","14.00","1",""
"OR_LOCK (M64, I32)","BASE","[≤9;13]","14.00","1",""
"OR_LOCK (M64, I8)","BASE","[≤9;13]","14.00","1",""
"OR_LOCK (M64, R64)","BASE","[≤9;13]","14.00","1",""
"OR_LOCK (M8, 0)","BASE","[≤10;13]","14.00","1",""
"OR_LOCK (M8, I8)","BASE","[≤10;13]","14.00","1",""
"OR_LOCK (M8, R8h)","BASE","[≤11;≤15]","14.00","1",""
"OR_LOCK (M8, R8l)","BASE","[≤10;≤14]","14.00","1",""
"OR_R0 (R8l, 0)","BASE","1","0.33","1",""
"OR_R0 (R8l, I8)","BASE","1","0.33","1",""
"OR_R4 (R8l, 0)","BASE","1","0.33","1",""
"OR_R4 (R8l, I8)","BASE","1","0.33","1",""
"OUT (0, AL)","BASE","","5736.28","76",""
"OUT (0, AX)","BASE","","5695.95","76",""
"OUT (0, EAX)","BASE","","5810.53","76",""
"OUT (DX, AL)","BASE","","7351.93","76",""
"OUT (DX, AX)","BASE","","7781.97","76",""
"OUT (DX, EAX)","BASE","","14623.47","76",""
"OUT (I8, AL)","BASE","","7346.87","76",""
"OUT (I8, AX)","BASE","","7853.33","76",""
"OUT (I8, EAX)","BASE","","14386.03","76",""
"OUTSB","BASE","","7368.18","78",""
"OUTSB_REPE","BASE","","101.40","34",""
"OUTSB_REPNE","BASE","","101.40","34",""
"OUTSD","BASE","","14732.28","78",""
"OUTSD_REPE","BASE","","101.40","34",""
"OUTSD_REPE_REX64","BASE","","101.40","34",""
"OUTSD_REPNE","BASE","","101.40","34",""
"OUTSD_REPNE_REX64","BASE","","101.40","34",""
"OUTSW","BASE","","7744.53","78",""
"OUTSW_REPE","BASE","","101.40","34",""
"OUTSW_REPNE","BASE","","101.40","34",""
"POP (M16)","BASE","≤34","6.00","7",""
"POP (M64)","BASE","≤33","6.00","7",""
"POP (R16)","BASE","[1;≤5]","3.97","3",""
"POP (R64)","BASE","[3;≤4]","1.00","1",""
"POPF","BASE","","31.03","24",""
"PUSH (0)","BASE","≤3","1.00","1",""
"PUSH (FS)","BASE","≤3","4.00","3",""
"PUSH (GS)","BASE","≤3","4.00","3",""
"PUSH (I32)","BASE","≤3","1.00","1",""
"PUSH (I8)","BASE","≤3","1.00","1",""
"PUSH (M16)","BASE","≤4","1.00","2",""
"PUSH (M64)","BASE","≤3","1.00","2",""
"PUSH (R16)","BASE","[≤4;≤5]","1.00","1",""
"PUSH (R64)","BASE","[≤3;≤4]","1.00","1",""
"PUSH_W (0)","BASE","≤4","1.00","1",""
"PUSH_W (FS)","BASE","≤4","4.00","3",""
"PUSH_W (GS)","BASE","≤4","4.00","3",""
"PUSH_W (I16)","BASE","≤4","1.00","1",""
"PUSH_W (I8)","BASE","≤4","1.00","1",""
"PUSHF","BASE","[≤13;≤15]","16.00","11",""
"RCL (M16, 0)","BASE","[16;≤38]","16.00","18",""
"RCL (M16, 1)","BASE","[2;≤10]","1.00","1",""
"RCL (M16, CL)","BASE","[7;≤48]","18.00","18",""
"RCL (M16, I8)","BASE","[7;≤46]","16.00","18",""
"RCL (M32, 0)","BASE","[16;≤37]","16.00","18",""
"RCL (M32, 1)","BASE","[2;≤9]","1.00","1",""
"RCL (M32, CL)","BASE","[7;≤48]","18.00","18",""
"RCL (M32, I8)","BASE","[7;≤46]","16.00","18",""
"RCL (M64, 0)","BASE","[16;≤37]","16.00","18",""
"RCL (M64, 1)","BASE","[2;≤9]","1.00","1",""
"RCL (M64, CL)","BASE","[7;≤48]","18.00","18",""
"RCL (M64, I8)","BASE","[7;≤46]","16.00","18",""
"RCL (M8, 0)","BASE","[16;≤38]","16.00","18",""
"RCL (M8, 1)","BASE","[2;≤10]","1.00","1",""
"RCL (M8, CL)","BASE","[7;≤48]","18.00","18",""
"RCL (M8, I8)","BASE","[7;≤46]","16.00","18",""
"RCL (R16, 0)","BASE","8","13.00","15",""
"RCL (R16, 1)","BASE","2","1.00","1",""
"RCL (R16, CL)","BASE","[7;10]","15.00","15",""
"RCL (R16, I8)","BASE","[7;9]","13.00","15",""
"RCL (R32, 0)","BASE","8","13.00","15",""
"RCL (R32, 1)","BASE","2","1.00","1",""
"RCL (R32, CL)","BASE","[7;10]","15.00","15",""
"RCL (R32, I8)","BASE","[7;9]","13.00","15",""
"RCL (R64, 0)","BASE","8","13.00","15",""
"RCL (R64, 1)","BASE","2","1.00","1",""
"RCL (R64, CL)","BASE","[7;10]","15.00","15",""
"RCL (R64, I8)","BASE","[7;9]","13.00","15",""
"RCL (R8h, 0)","BASE","9","9.00","14",""
"RCL (R8h, 1)","BASE","[≤2;≤3]","1.00","1",""
"RCL (R8h, CL)","BASE","[8;10]","11.00","14",""
"RCL (R8h, I8)","BASE","[8;≤10]","9.00","14",""
"RCL (R8l, CL)","BASE","[7;10]","15.00","15",""
"RCL_R0 (R8l, 0)","BASE","8","13.00","15",""
"RCL_R0 (R8l, 1)","BASE","2","1.00","1",""
"RCL_R0 (R8l, I8)","BASE","[7;8]","13.00","15",""
"RCL_R4 (R8l, 0)","BASE","8","13.00","15",""
"RCL_R4 (R8l, 1)","BASE","2","1.00","1",""
"RCL_R4 (R8l, I8)","BASE","[7;8]","13.00","15",""
"RCR (M16, 0)","BASE","[14;≤36]","14.00","16",""
"RCR (M16, 1)","BASE","[5;≤37]","13.00","13",""
"RCR (M16, CL)","BASE","[6;≤47]","16.00","16",""
"RCR (M16, I8)","BASE","[7;≤37]","14.00","16",""
"RCR (M32, 0)","BASE","[14;≤35]","14.00","16",""
"RCR (M32, 1)","BASE","[5;≤36]","13.00","13",""
"RCR (M32, CL)","BASE","[6;≤47]","16.00","16",""
"RCR (M32, I8)","BASE","[7;≤36]","14.00","16",""
"RCR (M64, 0)","BASE","[14;≤35]","14.00","16",""
"RCR (M64, 1)","BASE","[5;≤36]","13.00","13",""
"RCR (M64, CL)","BASE","[6;≤47]","16.00","16",""
"RCR (M64, I8)","BASE","[7;≤36]","14.00","16",""
"RCR (M8, 0)","BASE","[14;≤36]","14.00","16",""
"RCR (M8, 1)","BASE","[5;≤37]","13.00","13",""
"RCR (M8, CL)","BASE","[6;≤47]","16.00","16",""
"RCR (M8, I8)","BASE","[7;≤37]","14.00","16",""
"RCR (R16, 0)","BASE","6","11.00","13",""
"RCR (R16, 1)","BASE","[5;6]","10.00","10",""
"RCR (R16, CL)","BASE","[6;10]","13.00","13",""
"RCR (R16, I8)","BASE","[6;7]","11.00","13",""
"RCR (R32, 0)","BASE","6","11.00","13",""
"RCR (R32, 1)","BASE","[5;6]","10.00","10",""
"RCR (R32, CL)","BASE","[6;10]","13.00","13",""
"RCR (R32, I8)","BASE","[6;7]","11.00","13",""
"RCR (R64, 0)","BASE","6","11.00","13",""
"RCR (R64, 1)","BASE","[5;6]","10.00","10",""
"RCR (R64, CL)","BASE","[6;10]","13.00","13",""
"RCR (R64, I8)","BASE","[6;7]","11.00","13",""
"RCR (R8h, 0)","BASE","7","9.00","12",""
"RCR (R8h, 1)","BASE","[5;≤7]","11.00","10",""
"RCR (R8h, CL)","BASE","[≤7;10]","11.00","12",""
"RCR (R8h, I8)","BASE","[≤7;≤8]","9.00","12",""
"RCR (R8l, CL)","BASE","[6;10]","13.00","13",""
"RCR_R0 (R8l, 0)","BASE","6","11.00","13",""
"RCR_R0 (R8l, 1)","BASE","[5;6]","10.00","10",""
"RCR_R0 (R8l, I8)","BASE","[6;7]","11.00","13",""
"RCR_R4 (R8l, 0)","BASE","6","11.00","13",""
"RCR_R4 (R8l, 1)","BASE","[5;6]","10.00","10",""
"RCR_R4 (R8l, I8)","BASE","[6;7]","11.00","13",""
"RDMSR","BASE","","50.00","58",""
"RDPMC","BASE","","12.00","13",""
"RDTSC","BASE","","20.00","19",""
"RET_NEAR","BASE","","23.50","2",""
"RET_NEAR (I16)","BASE","","23.64","3",""
"ROL (M16, 0)","BASE","[5;≤9]","1.00","1",""
"ROL (M16, 1)","BASE","[5;≤9]","1.00","1",""
"ROL (M16, CL)","BASE","[1;≤9]","1.00","1",""
"ROL (M16, I8)","BASE","[5;≤9]","1.00","1",""
"ROL (M32, 0)","BASE","[5;≤8]","1.00","1",""
"ROL (M32, 1)","BASE","[5;≤8]","1.00","1",""
"ROL (M32, CL)","BASE","[1;≤8]","1.00","1",""
"ROL (M32, I8)","BASE","[5;≤8]","1.00","1",""
"ROL (M64, 0)","BASE","[5;≤8]","1.00","1",""
"ROL (M64, 1)","BASE","[5;≤8]","1.00","1",""
"ROL (M64, CL)","BASE","[1;≤8]","1.00","1",""
"ROL (M64, I8)","BASE","[5;≤8]","1.00","1",""
"ROL (M8, 0)","BASE","[5;≤9]","1.00","1",""
"ROL (M8, 1)","BASE","[5;≤9]","1.00","1",""
"ROL (M8, CL)","BASE","[1;≤9]","1.00","1",""
"ROL (M8, I8)","BASE","[5;≤9]","1.00","1",""
"ROL (R16, 0)","BASE","1","1.00","1",""
"ROL (R16, 1)","BASE","[1;2]","1.00","1",""
"ROL (R16, CL)","BASE","[0;3]","1.00","1",""
"ROL (R16, I8)","BASE","[1;2]","1.00","1",""
"ROL (R32, 0)","BASE","1","1.00","1",""
"ROL (R32, 1)","BASE","[1;2]","1.00","1",""
"ROL (R32, CL)","BASE","[0;3]","1.00","1",""
"ROL (R32, I8)","BASE","[1;2]","1.00","1",""
"ROL (R64, 0)","BASE","1","1.00","1",""
"ROL (R64, 1)","BASE","[1;2]","1.00","1",""
"ROL (R64, CL)","BASE","[0;3]","1.00","1",""
"ROL (R64, I8)","BASE","[1;2]","1.00","1",""
"ROL (R8h, 0)","BASE","1","1.00","1",""
"ROL (R8h, 1)","BASE","[1;≤3]","1.00","1",""
"ROL (R8h, CL)","BASE","[≤1;3]","1.00","1",""
"ROL (R8h, I8)","BASE","[1;≤3]","1.00","1",""
"ROL (R8l, CL)","BASE","[0;3]","1.00","1",""
"ROL_R0 (R8l, 0)","BASE","1","1.00","1",""
"ROL_R0 (R8l, 1)","BASE","[1;2]","1.00","1",""
"ROL_R0 (R8l, I8)","BASE","[1;2]","1.00","1",""
"ROL_R4 (R8l, 0)","BASE","1","1.00","1",""
"ROL_R4 (R8l, 1)","BASE","[1;2]","1.00","1",""
"ROL_R4 (R8l, I8)","BASE","[1;2]","1.00","1",""
"ROR (M16, 0)","BASE","[5;≤9]","1.00","1",""
"ROR (M16, 1)","BASE","[5;≤9]","1.00","1",""
"ROR (M16, CL)","BASE","[1;≤9]","1.00","1",""
"ROR (M16, I8)","BASE","[5;≤9]","1.00","1",""
"ROR (M32, 0)","BASE","[5;≤8]","1.00","1",""
"ROR (M32, 1)","BASE","[5;≤8]","1.00","1",""
"ROR (M32, CL)","BASE","[1;≤8]","1.00","1",""
"ROR (M32, I8)","BASE","[5;≤8]","1.00","1",""
"ROR (M64, 0)","BASE","[5;≤8]","1.00","1",""
"ROR (M64, 1)","BASE","[5;≤8]","1.00","1",""
"ROR (M64, CL)","BASE","[1;≤8]","1.00","1",""
"ROR (M64, I8)","BASE","[5;≤8]","1.00","1",""
"ROR (M8, 0)","BASE","[5;≤9]","1.00","1",""
"ROR (M8, 1)","BASE","[5;≤9]","1.00","1",""
"ROR (M8, CL)","BASE","[1;≤9]","1.00","1",""
"ROR (M8, I8)","BASE","[5;≤9]","1.00","1",""
"ROR (R16, 0)","BASE","1","1.00","1",""
"ROR (R16, 1)","BASE","[1;2]","1.00","1",""
"ROR (R16, CL)","BASE","[0;3]","1.00","1",""
"ROR (R16, I8)","BASE","[1;2]","1.00","1",""
"ROR (R32, 0)","BASE","1","1.00","1",""
"ROR (R32, 1)","BASE","[1;2]","1.00","1",""
"ROR (R32, CL)","BASE","[0;3]","1.00","1",""
"ROR (R32, I8)","BASE","[1;2]","1.00","1",""
"ROR (R64, 0)","BASE","1","1.00","1",""
"ROR (R64, 1)","BASE","[1;2]","1.00","1",""
"ROR (R64, CL)","BASE","[0;3]","1.00","1",""
"ROR (R64, I8)","BASE","[1;2]","1.00","1",""
"ROR (R8h, 0)","BASE","1","1.00","1",""
"ROR (R8h, 1)","BASE","[1;≤3]","1.00","1",""
"ROR (R8h, CL)","BASE","[≤1;3]","1.00","1",""
"ROR (R8h, I8)","BASE","[1;≤3]","1.00","1",""
"ROR (R8l, CL)","BASE","[0;3]","1.00","1",""
"ROR_R0 (R8l, 0)","BASE","1","1.00","1",""
"ROR_R0 (R8l, 1)","BASE","[1;2]","1.00","1",""
"ROR_R0 (R8l, I8)","BASE","[1;2]","1.00","1",""
"ROR_R4 (R8l, 0)","BASE","1","1.00","1",""
"ROR_R4 (R8l, 1)","BASE","[1;2]","1.00","1",""
"ROR_R4 (R8l, I8)","BASE","[1;2]","1.00","1",""
"SAHF","BASE","≤2","1.00","1",""
"SAR (M16, 0)","BASE","[5;≤9]","1.00","1",""
"SAR (M16, 1)","BASE","[4;≤9]","1.00","1",""
"SAR (M16, CL)","BASE","[1;≤9]","1.00","1",""
"SAR (M16, I8)","BASE","[4;≤9]","1.00","1",""
"SAR (M32, 0)","BASE","[5;≤8]","1.00","1",""
"SAR (M32, 1)","BASE","[4;≤8]","1.00","1",""
"SAR (M32, CL)","BASE","[1;≤8]","1.00","1",""
"SAR (M32, I8)","BASE","[4;≤8]","1.00","1",""
"SAR (M64, 0)","BASE","[5;≤8]","1.00","1",""
"SAR (M64, 1)","BASE","[4;≤8]","1.00","1",""
"SAR (M64, CL)","BASE","[1;≤8]","1.00","1",""
"SAR (M64, I8)","BASE","[4;≤8]","1.00","1",""
"SAR (M8, 0)","BASE","[5;≤9]","1.00","1",""
"SAR (M8, 1)","BASE","[4;≤9]","1.00","1",""
"SAR (M8, CL)","BASE","[1;≤9]","1.00","1",""
"SAR (M8, I8)","BASE","[4;≤9]","1.00","1",""
